Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity ,Wood Production Capacity,% Imputed
2018,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),0.08%,0.14%,898638,878338,294,11750,2737,46,903,4812,243,18%
2018,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),0.14%,0.55%,537523,525239,152,6908,1604,25,852,2821,78,11%
2018,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),0.15%,0.27%,524241,512332,177,6458,1517,26,706,3130,106,16%
2018,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.05%,0.09%,577291,563271,153,9028,2117,28,920,3724,110,20%
2018,AVIVA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.04%,0,8782133,8609784,741,115277,27088,246,21521,47646,2872,20%
2018,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),95.89%,2189.27%,8227816563,7116396013,1853987,92227165,21739790,298881,1815342,993437521,47864,1%
2018,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),376.27%,2955.54%,6576092035,1301988839,315150,17340109,4066610,55840,613,5252366239,41363,0%
2018,ENKA INSAAT VE SANAYI A.S.,Turkey,Activities of membership organisation n.e.c. (91),121.03%,578.57%,3181138672,2941011636,662466,34434547,8066828,113463,2713110,193924340,212281,18%
2018,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),49.60%,275.57%,2599254823,2516419819,571797,32975542,7730568,103543,1108817,40315502,29236,2%
2018,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),7.10%,34.95%,2326851406,2057993678,471879,27428852,6390857,85804,33282,234457260,10206,0%
2018,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),8.28%,109.80%,1544851032,1346116434,308275,17902538,4197241,56063,3727,176267646,891,0%
2018,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),23.11%,110.30%,823526227,801992150,180905,10331629,2421911,32568,754090,7793091,19883,4%
2018,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),1.88%,12.60%,787943145,770896608,181142,10206332,2391653,32558,42462,4205411,13021,1%
2018,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),7.82%,120.94%,584104630,540958435,131996,7165082,1674513,23299,353913,33819055,21663,2%
2018,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),0.51%,5.93%,487443107,461213170,110397,6026393,1401709,19151,602330,18070263,306,3%
2018,KEPPEL CORPORATION LIMITED,Singapore,Activities of membership organisation n.e.c. (91),9.97%,98.03%,436728188,424473975,94001,5234332,1226792,16670,926351,4731643,24425,10%
2018,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),1.13%,69.92%,408287542,393842749,90051,5224889,1224788,16384,88012,7800659,11,0%
2018,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),17.86%,439.53%,386150456,246771761,55438,3211530,748206,10048,275681,135073389,4403,3%
2018,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),7.32%,0,366142826,216102739,78815,2827522,666873,10930,4106,146495121,43279,0%
2018,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),20.38%,205.59%,325521963,318353121,72068,4181945,976953,13086,203649,1717888,3252,3%
2018,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. (91),14.20%,69.17%,235000634,143799482,32123,1858591,432125,5815,210890,88658241,3368,4%
2018,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),3.89%,0,196964806,192684933,47794,2562153,600579,8324,12373,1056060,7408,0%
2018,RHEINMETALL AG,Germany,Activities of membership organisation n.e.c. (91),1.77%,26.51%,124730963,121991479,29212,1620231,378263,5188,44592,665138,3140,2%
2018,AITKEN SPENCE & CO. LTD.,Sri Lanka,Activities of membership organisation n.e.c. (91),42.46%,341.08%,121070779,117594873,26692,1537204,360368,4830,60329,1484892,1591,3%
2018,AAMAL CO QPSC,Qatar,Activities of membership organisation n.e.c. (91),17.93%,68.34%,63347738,18657647,4320,247649,57976,808,497,44378926,85,0%
2018,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),0.36%,5.42%,59236819,56734943,13192,737990,171611,2365,162876,1414411,568,6%
2018,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),0.21%,6.05%,57735910,56262862,20194,723107,167963,2949,279246,295263,15674,18%
2018,REUNERT LTD,South Africa,Activities of membership organisation n.e.c. (91),3.40%,25.52%,24760050,20224586,4289,245224,55898,767,92960,4134842,1485,15%
2018,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),0.51%,3.16%,20717046,20263807,4933,269770,63116,870,4258,110983,692,4%
2018,BALMER LAWRIE AND COMPANY LTD,India,Activities of membership organisation n.e.c. (91),3.75%,31.82%,9275235,6671648,1506,87543,20517,274,493,2493165,88,2%
2018,AMERICAN AIRLINES GROUP INC,United States,Air transport (62),28.90%,373.26%,12873828528,12597094960,3046271,165637613,38336344,543479,2132371,67681840,644351,5%
2018,DELTA AIR LINES INC,United States,Air transport (62),25.46%,217.15%,11315762197,11074211540,2519726,143830867,33594184,459553,2127440,59072648,53761,5%
2018,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),26.06%,284.82%,10763354823,10532304968,2513357,138166875,31932620,450807,1977354,56467659,458818,6%
2018,AIR FRANCE KLM SA,France,Air transport (62),28.63%,563.10%,8690400055,8505233826,2087161,110337042,25851313,361999,1253729,45490377,215393,5%
2018,SOUTHWEST AIRLINES CO.,United States,Air transport (62),31.16%,215.15%,6843892416,6697101901,1513264,87801535,20342424,276995,1051560,35830088,25350,5%
2018,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),14.79%,285.65%,6069869031,5932999197,2939996,84505867,19548140,434266,97752,34357914,5014101,6%
2018,ANA HOLDINGS INC,Japan,Air transport (62),19.51%,233.87%,3506824293,3430964615,860174,45652647,10647756,151907,83339,18721860,258005,2%
2018,EVA AIRWAYS CORP,Taiwan,Air transport (62),34.79%,704.08%,2044600916,2000687641,465683,26429853,6131314,84761,73714,10788926,60976,4%
2018,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),17.35%,352.67%,2029671783,1983795749,1167064,28323169,6529717,165011,373834,11511601,2194363,8%
2018,NORWEGIAN AIR SHUTTLE ASA,Norway,Air transport (62),34.31%,0,1594232479,1558311628,471208,20910690,4886343,78224,190500,9741470,357584,15%
2018,SAS AB,Sweden,Air transport (62),17.99%,312.81%,905312027,884933316,384014,12484938,2909629,58426,  ,5114016,572312,1%
2018,SINOTRANS LTD,China,Air transport (62),0.53%,18.26%,59393824,58113444,14187,766666,180199,2437,  ,316892,  ,0%
2018,FEDEX CORPORATION,United States,Air transport (62),8.22%,102.71%,5382229564,5273847574,2262753,61208863,15220252,179727,3133376,26843013,10685719,14%
2018,"AIR PRODUCTS AND CHEMICALS,INC.",United States,Chemicals nec,103.70%,483.47%,9260460321,8401590435,1934495,111695382,26184630,351096,480147,718262331,38196,0%
2018,AIR LIQUIDE,France,Chemicals nec,36.15%,232.97%,8695592265,8448919527,1997073,112093867,26289024,356148,1000882,105041270,105527,0%
2018,LINDE PLC,United Kingdom,Chemicals nec,54.33%,312.07%,8060725656,7625235433,1767782,101423787,23772335,320023,311237,307966223,71165,3%
2018,COVESTRO AG,Germany,Chemicals nec,12.99%,76.43%,2173698839,2097879611,472988,27131756,6356749,85612,5629461,36105274,37387,5%
2018,TOKUYAMA CORPORATION,Japan,Chemicals nec,64.14%,478.77%,1800807730,1729623024,495339,23418740,5438136,83375,375955,41679234,306073,1%
2018,PROCTER & GAMBLE CO,United States,Chemicals nec,2.54%,11.50%,1700462670,1489488097,352161,19192146,4477793,62495,3593335,183319598,22956,6%
2018,SHINETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,12.78%,54.67%,1678381719,1627579263,377660,21357847,5003986,67947,1759113,22243952,8048,3%
2018,KIMBERLYCLARK CORPORATION,United States,Chemicals nec,8.92%,74.01%,1649688192,1366473565,331681,18477794,4136939,58270,993931,259279202,63189,5%
2018,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,22.66%,272.75%,1334669787,1293989616,316101,17279342,3955480,54956,788640,18323997,38346,2%
2018,DONGYUE GROUP LIMITED,China,Chemicals nec,60.54%,267.93%,1251570362,1027892522,234549,13400996,3123701,42301,2112183,204756195,7916,4%
2018,WACKER CHEMIE AG,Germany,Chemicals nec,16.91%,376.93%,964068786,833957269,208034,10877424,2542847,36018,1917622,114565370,35798,4%
2018,CELANESE CORPORATION,United States,Chemicals nec,12.13%,65.23%,868199935,828143288,211791,10950502,2552320,35886,384701,25956354,34907,5%
2018,HENGAN INTERNATIONAL GROUP COMPANY LTD,China,Chemicals nec,22.24%,104.74%,785253299,611182051,131866,7652506,1762933,23899,3607400,160860785,31860,11%
2018,AIR WATER INCORPORATED,Japan,Chemicals nec,7.96%,141.40%,546417209,513496393,117644,6937804,1510225,20977,919638,23420805,6277,10%
2018,ASHLAND GLOBAL HOLDINGS INC,United States,Chemicals nec,13.33%,142.95%,498890616,296512256,77648,3982940,896306,12915,201249,197225563,18261,3%
2018,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,13.23%,160.75%,389270027,375372173,83700,5051479,1133487,15384,393944,7221746,1887,6%
2018,"PPG INDUSTRIES,INC.",United States,Chemicals nec,2.45%,20.24%,376815495,274511488,71643,3577161,816609,12297,826609,97027370,27681,7%
2018,KAO CORP,Japan,Chemicals nec,2.65%,20.04%,364680126,346405317,79433,4276164,1001881,13971,1840361,11053569,9432,13%
2018,CLARIANT AG,Switzerland,Chemicals nec,5.05%,59.45%,340160012,273319873,69027,3636914,848700,12023,7304,62283533,17361,1%
2018,MINERALS TECHNOLOGIES INC.,United States,Chemicals nec,18.76%,130.38%,339123677,202651390,51095,2714235,618243,8712,97189,132991631,8819,2%
2018,W. R. GRACE & CO,United States,Chemicals nec,16.82%,81.85%,324946880,257470680,57627,3454913,789184,10583,103883,63059831,180,3%
2018,KIMBERLYCLARK DE MEXICO S.A.B. DE C.V.,Mexico,Chemicals nec,14.31%,78.20%,298768148,257914351,55335,3389046,748167,10218,697167,35948485,5379,12%
2018,ALBEMARLE CORPORATION,United States,Chemicals nec,8.78%,42.26%,296318309,260397181,81799,3407699,771833,11638,181460,31483661,16960,5%
2018,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,4.74%,76.37%,289386351,278940390,62197,3579321,831243,11252,816728,5138089,7130,7%
2018,KRATON CORP,United States,Chemicals nec,13.85%,111.90%,278537177,196467211,49202,2616106,608490,8618,108161,78691690,12301,1%
2018,NITTO DENKO CORPORATION,Japan,Chemicals nec,3.28%,23.43%,256251049,248505725,72699,3027184,704758,10279,1044976,2877989,7439,2%
2018,DIC CORPORATION,Japan,Chemicals nec,3.16%,52.58%,231880790,208556155,46397,2605244,607027,8328,983024,19067325,7290,11%
2017,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),0.53%,3.05%,78023917,63547513,20107,864786,202338,3290,519681,12883223,17022,6%
2017,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.57%,9.65%,58952531,57670814,13394,766874,179781,2419,3597,316132,480,1%
2017,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),1.07%,10.83%,53846021,47450022,11191,631584,147963,2013,3614,5600662,1029,2%
2017,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),2.21%,43.29%,42093792,18197877,4485,240105,56310,781,3814,23590992,572,2%
2017,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),2.83%,12.45%,33405707,32680180,7538,434595,101886,1366,1132,179160,151,0%
2017,ADECCO GROUP AG,Switzerland,Activities auxiliary to financial intermediation (67),0.09%,1.95%,29487988,27297687,6997,359021,83307,1227,16245,1726164,2661,1%
2017,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.29%,1.13%,28671188,27292603,6787,362641,84993,1186,9555,914699,1275,4%
2017,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.41%,5.27%,23040129,22535823,5463,299525,70207,966,5415,123452,723,3%
2017,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,China,Activities auxiliary to financial intermediation (67),0.05%,0.57%,22183365,21672352,4496,265297,61081,824,70277,107398,1641,18%
2017,DKSH HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.19%,8.05%,21080593,20071397,4859,265509,61940,868,5782,671185,947,1%
2017,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),0.07%,1.96%,20227395,19167600,6463,249461,57435,1032,31497,720428,6521,16%
2017,ZURICH INSURANCE GROUP LIMITED,Switzerland,Activities auxiliary to financial intermediation (67),0.03%,0.30%,16598071,16227622,5205,207850,47020,855,32144,82641,5265,12%
2017,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),0.58%,8.60%,15743582,13026547,4015,176896,41397,662,96568,2400661,3163,5%
2017,VIENNA INSURANCE GROUP,Austria,Activities auxiliary to financial intermediation (67),0.11%,1.49%,13131879,12857078,3166,162787,37918,549,4194,66664,478,1%
2017,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.29%,1.16%,12604102,12328025,3002,163844,38404,530,3196,67529,426,3%
2017,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),0.19%,0.45%,11628582,11373110,3404,151442,35374,563,4902,62183,2396,14%
2017,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),0.17%,0.93%,9182008,8722656,2390,114971,26755,408,5985,310083,1239,8%
2017,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.27%,0.87%,7166030,7008458,1748,93119,21824,305,2540,38375,339,5%
2017,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.20%,11.63%,5712475,5588185,1304,74305,17419,235,457,30630,61,1%
2017,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),0.38%,0.61%,5639467,5516219,1364,72738,17033,237,2125,29950,200,3%
2017,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.05%,0.86%,4552555,4452263,1239,58032,13352,212,4763,23473,780,7%
2017,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),0.60%,0.90%,4381689,4285465,1040,56848,13299,184,1616,23385,148,3%
2017,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),1.48%,0,2685243,2626261,598,34782,8136,109,1044,14306,7,1%
2017,UNIQA INSURANCE GROUP AG,Austria,Activities auxiliary to financial intermediation (67),0.04%,0.83%,2495128,2446576,685,27983,6424,110,2328,11289,265,2%
2017,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),1.80%,3.45%,2314490,2264577,530,29842,6991,95,184,12293,22,0%
2017,HELVETIA HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.02%,0.38%,2293578,2242177,749,28558,6424,122,5090,11291,834,13%
2017,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.10%,1.13%,1813492,1772656,507,23512,5507,83,1782,9683,238,11%
2017,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),0.18%,0.29%,677330,662050,217,8416,1977,32,773,3981,116,15%
2017,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),0.15%,0.56%,587747,574347,164,7557,1756,27,890,3087,81,10%
2017,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.03%,0.07%,304718,296777,89,5312,1246,16,817,2192,98,14%
2017,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),111.48%,1768.88%,6961998960,5814045763,1833579,75589060,17855385,272085,1321269,1051725731,643911,1%
2017,HACI OMER SABANCI HOLDING A.S.,Turkey,Activities of membership organisation n.e.c. (91),117.21%,0,4275062187,4051182164,857285,47162106,11051906,149656,3764995,160426570,467506,18%
2017,ENKA INSAAT VE SANAYI A.S.,Turkey,Activities of membership organisation n.e.c. (91),136.74%,652.81%,3808135153,3529631728,754368,41813953,9799257,132431,2874762,222771689,356964,15%
2017,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),168.25%,1237.02%,3084607732,1475761155,355221,19650472,4608355,63093,643,1584210600,41808,0%
2017,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),6.31%,27.65%,1998064258,1808187556,414575,24109531,5611948,75390,32157,159642961,9861,0%
2017,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),10.25%,178.10%,1664373167,1320422306,304910,17543057,4114260,55040,3246,321931125,776,0%
2017,GENERAL ELECTRIC COMPANY,United States,Activities of membership organisation n.e.c. (91),1.03%,0,1245679599,1138478454,274325,15007858,3515110,48747,122368,88270259,37523,2%
2017,SIME DARBY BERHAD,Malaysia,Activities of membership organisation n.e.c. (91),13.66%,868.11%,1046790164,1006191233,224727,12662356,2967984,40134,1621896,23039070,42764,7%
2017,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),1.96%,33.19%,847671311,814595735,221899,10842411,2545709,37047,105780,19400244,77512,0%
2017,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),27.14%,111.63%,817521359,796903422,180129,10315812,2418251,32482,637209,7017253,16801,4%
2017,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),1.99%,11.77%,805914192,788476527,185015,10441545,2446834,33276,41174,4302448,12626,1%
2017,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),8.19%,115.59%,599556552,556649975,138116,7378471,1724902,24197,346865,33321822,27796,2%
2017,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),0.54%,5.69%,533890801,506020159,121129,6616868,1540015,21042,631815,18940772,999,3%
2017,KEPPEL CORPORATION LIMITED,Singapore,Activities of membership organisation n.e.c. (91),10.20%,83.83%,454969650,442266246,98011,5463053,1280407,17392,944179,4875468,24895,10%
2017,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),17.77%,641.85%,396199187,265346078,59655,3456370,805461,10814,284257,126232012,4540,3%
2017,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),8.43%,454.20%,352203316,230225839,60153,3063859,717005,10162,3431,118136905,14038,0%
2017,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),16.27%,152.76%,260045701,254296992,57419,3329995,777214,10420,203749,1366659,3254,3%
2017,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),5.16%,674.31%,241682287,236784955,58212,3149261,738275,10191,11451,938155,8213,0%
2017,RHEINMETALL AG,Germany,Activities of membership organisation n.e.c. (91),1.86%,37.27%,131573366,128685269,30751,1709243,399122,5467,44855,701817,3158,2%
2017,AITKEN SPENCE & CO. LTD.,Sri Lanka,Activities of membership organisation n.e.c. (91),42.58%,344.18%,125859217,120643389,27382,1576765,369642,4954,62545,3172891,1649,2%
2017,GRUPO KUO SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),5.86%,53.64%,73339245,71748325,16437,954205,223713,2989,250,393386,60,0%
2017,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),0.38%,5.71%,63094992,60413804,13921,786393,182951,2505,164194,1531459,236,6%
2017,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),0.22%,7.71%,61297671,56083160,19999,721246,167560,2929,273379,4044743,15345,17%
2017,ALLIED ELECTRONICS CORPORATION LIMITED,South Africa,Activities of membership organisation n.e.c. (91),3.66%,69.77%,41035287,38116921,8200,470379,107825,1471,143076,2185131,2285,14%
2017,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),0.51%,2.95%,22466151,21718764,5291,289143,67647,933,4614,380509,750,4%
2017,DELTA AIR LINES INC,United States,Air transport (62),26.99%,174.64%,11130078555,10892274036,2479363,141661387,33094344,452118,1974530,58193749,50972,5%
2017,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),27.72%,284.73%,10460841282,10218997242,2447511,134220943,31046500,438419,1806586,72348710,464630,6%
2017,AIR FRANCE KLM SA,France,Air transport (62),27.96%,845.10%,8656734872,8470526285,2086313,109826297,25731526,361122,1278767,47154500,229937,5%
2017,SOUTHWEST AIRLINES CO.,United States,Air transport (62),31.69%,190.90%,6710098400,6566206158,1483995,86106508,19953792,271610,1013548,35087237,24449,5%
2017,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),10.85%,168.46%,4636635545,4531350925,2520913,65428812,15076901,364202,101773,26498817,4706798,8%
2017,ANA HOLDINGS INC,Japan,Air transport (62),21.62%,262.25%,3388602782,3315246253,832114,44143443,10300492,146883,72676,18111222,250301,2%
2017,CATHAY PACIFIC AIRWAYS LTD,Hong Kong,Air transport (62),24.08%,0,2996949553,2704665376,1515808,39475387,9167614,219266,68,244735063,2829030,1%
2017,ALASKA AIR GROUP INCORPORATED,United States,Air transport (62),30.08%,172.40%,2385974455,2334174580,560484,30696336,7108231,100255,379787,13061432,106650,5%
2017,EVA AIRWAYS CORP,Taiwan,Air transport (62),37.34%,702.47%,2052725616,2008220371,467278,26542961,6162032,85023,68943,11237219,58210,4%
2017,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),18.00%,231.58%,2036970102,1988632431,1168674,28410382,6552742,165256,361679,13873452,2194516,7%
2017,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV,Mexico,Air transport (62),260.66%,520.08%,1648057320,33037301,7265,382573,91597,390,0,1681608063,46927,3%
2017,GOL LINHAS AEREAS INTELIGENTES S.A.,Brazil,Air transport (62),33.22%,352.64%,1060396486,1037638934,244754,13527991,3152460,100106,212412,5543068,23238,5%
2017,SAS AB,Sweden,Air transport (62),17.63%,312.13%,918908101,898117067,389024,12667672,2952137,59212,  ,5301655,578665,1%
2017,CONTROLADORA VUELA COMPANIA DE AVIACION SA DE CV,Mexico,Air transport (62),26.47%,0,336241160,328704221,104947,4485801,1047859,17226,0,1975390,94284,18%
